"description","total_amount"
"A Amazing Display of a Robot And a Astronaut who must Fight a Womanizer in Berlin","122.79"
"A Awe-Inspiring Drama of a Boy And a Frisbee who must Escape a Pastry Chef in California","122.77"
"A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California","121.79"
"A Stunning Reflection of a Sumo Wrestler And a Explorer who must Sink a Frisbee in A MySQL Convention","121.78"
"A Thrilling Yarn of a Pastry Chef And a Monkey who must Battle a Monkey in A Shark Tank","121.77"
"A Unbelieveable Display of a Dog And a Crocodile who must Outrace a Man in Nigeria","121.74"
"A Thoughtful Documentary of a Dentist And a Forensic Psychologist who must Defeat a Waitress in Berlin","120.83"
"A Insightful Reflection of a Pioneer And a Teacher who must Build a Composer in The First Manned Space Station","120.83"
"A Boring Character Study of a Car And a Husband who must Outgun a Frisbee in The First Manned Space Station","120.82"
"A Unbelieveable Story of a Boy And a Mad Cow who must Challenge a Database Administrator in The Sahara Desert","119.85"
"A Action-Packed Reflection of a Mad Scientist And a A Shark who must Find a Feminist in California","119.82"
"A Fast-Paced Saga of a Astronaut And a Secret Agent who must Escape a Hunter in An Abandoned Amusement Park","119.81"
"A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria","119.75"
"A Awe-Inspiring Display of a Squirrel And a Woman who must Overcome a Boy in The Gulf of Mexico","118.82"
"A Brilliant Documentary of a Butler And a Frisbee who must Build a Astronaut in New Orleans","118.81"
"A Fast-Paced Documentary of a Crocodile And a Sumo Wrestler who must Conquer a Explorer in California","118.79"
"A Emotional Epistle of a Pioneer And a Crocodile who must Battle a Man in A Manhattan Penthouse","118.73"
"A Awe-Inspiring Drama of a Technical Writer And a Composer who must Reach a Pastry Chef in A U-Boat","117.82"
"A Insightful Panorama of a Woman And a Feminist who must Defeat a Forensic Psychologist in Berlin","117.80"
"A Fateful Saga of a Waitress And a Hunter who must Outrace a Sumo Wrestler in Australia","117.79"
"A Unbelieveable Documentary of a Dentist And a Technical Writer who must Build a Womanizer in Nigeria","116.84"
"A Emotional Saga of a Database Administrator And a Pastry Chef who must Confront a Teacher in A Baloon Factory","116.76"
"A Unbelieveable Reflection of a Butler And a Boat who must Outgun a Mad Scientist in California","116.73"
"A Boring Character Study of a Waitress And a Astronaut who must Fight a Crocodile in Ancient Japan","115.83"
"A Touching Yarn of a Frisbee And a Dentist who must Fight a Composer in Ancient Japan","115.83"
"A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station","115.79"
"A Intrepid Saga of a Man And a Lumberjack who must Vanquish a Husband in The Outback","115.79"
"A Taut Character Study of a Husband And a Waitress who must Sink a Squirrel in A MySQL Convention","114.83"
"A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention","114.81"
"A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention","113.85"
"A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat","113.84"
"A Emotional Documentary of a Dentist And a Woman who must Battle a Mad Scientist in Ancient China","113.80"
"A Touching Reflection of a Crocodile And a Dog who must Chase a Hunter in An Abandoned Fun House","113.77"
"A Action-Packed Panorama of a Mad Cow And a Composer who must Discover a Robot in A Baloon Factory","112.82"
"A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China","111.81"
"A Touching Tale of a Explorer And a Boat who must Defeat a Robot in Australia","111.80"
"A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House","111.80"
"A Intrepid Story of a Sumo Wrestler And a Teacher who must Meet a A Shark in An Abandoned Fun House","110.84"
"A Action-Packed Reflection of a Student And a Butler who must Discover a Database Administrator in A Manhattan Penthouse","110.82"
"A Epic Saga of a Boy And a Dentist who must Outrace a Madman in A U-Boat","110.81"
"A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan","110.72"
"A Awe-Inspiring Drama of a Dog And a Man who must Escape a Robot in A Shark Tank","109.86"
"A Lacklusture Story of a Moose And a Monkey who must Confront a Butler in An Abandoned Amusement Park","109.81"
"A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station","109.77"
"A Stunning Display of a Mad Scientist And a Technical Writer who must Succumb a Monkey in A Shark Tank","109.77"
"A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank","108.74"
"A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan","107.84"
"A Brilliant Panorama of a Madman And a Composer who must Succumb a Car in Ancient India","107.81"
"A Taut Yarn of a Hunter And a Astronaut who must Conquer a Database Administrator in The Sahara Desert","107.80"
"A Emotional Yarn of a Teacher And a Girl who must Find a Teacher in A Baloon Factory","106.84"
"A Fateful Display of a Pioneer And a Hunter who must Defeat a Husband in An Abandoned Mine Shaft","106.81"
"A Fateful Saga of a Sumo Wrestler And a Hunter who must Redeem a A Shark in New Orleans","106.81"
"A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station","106.81"
"A Fateful Tale of a Database Administrator And a Squirrel who must Discover a Student in Soviet Georgia","105.87"
"A Emotional Reflection of a Womanizer And a Pioneer who must Face a Squirrel in Berlin","105.84"
"A Thoughtful Saga of a A Shark And a Monkey who must Outgun a Student in Ancient China","105.83"
"A Astounding Saga of a Technical Writer And a Butler who must Battle a Butler in A Shark Tank","105.82"
"A Unbelieveable Character Study of a Cat And a Database Administrator who must Pursue a Teacher in A Monastery","105.82"
"A Astounding Story of a Cat And a Database Administrator who must Build a Technical Writer in New Orleans","105.81"
"A Action-Packed Yarn of a Feminist And a Technical Writer who must Sink a Boat in An Abandoned Mine Shaft","105.81"
"A Emotional Yarn of a Composer And a Man who must Escape a Butler in The Gulf of Mexico","105.81"
"A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House","105.77"
"A Brilliant Character Study of a Secret Agent And a Man who must Find a Cat in The Gulf of Mexico","104.86"
"A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin","104.84"
"A Touching Character Study of a Pastry Chef And a Database Administrator who must Reach a A Shark in Ancient Japan","104.81"
"A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery","104.80"
"A Awe-Inspiring Reflection of a Cat And a Pioneer who must Escape a Hunter in Ancient China","104.80"
"A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery","104.79"
"A Boring Epistle of a Database Administrator And a Explorer who must Pursue a Madman in Soviet Georgia","104.77"
"A Emotional Display of a Husband And a A Shark who must Succumb a Madman in A Manhattan Penthouse","103.88"
"A Amazing Saga of a Moose And a Pastry Chef who must Escape a Butler in Australia","103.83"
"A Brilliant Documentary of a Womanizer And a Squirrel who must Find a Technical Writer in The Sahara Desert","103.83"
"A Lacklusture Drama of a Secret Agent And a Explorer who must Discover a Car in A U-Boat","103.81"
"A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin","103.80"
"A Emotional Reflection of a Frisbee And a Boat who must Reach a Pastry Chef in An Abandoned Amusement Park","103.78"
"A Astounding Character Study of a Secret Agent And a Robot who must Build a A Shark in Berlin","103.73"
"A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California","102.83"
"A Unbelieveable Display of a Crocodile And a Feminist who must Overcome a Moose in An Abandoned Amusement Park","102.81"
"A Amazing Documentary of a Car And a Robot who must Escape a Lumberjack in An Abandoned Amusement Park","102.79"
"A Astounding Display of a Forensic Psychologist And a Mad Scientist who must Challenge a Girl in New Orleans","102.74"
"A Boring Display of a Man And a Dog who must Redeem a Girl in A U-Boat","102.74"
"A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft","101.84"
"A Awe-Inspiring Reflection of a Boy And a Man who must Discover a Moose in The Sahara Desert","101.84"
"A Amazing Drama of a Butler And a Husband who must Reach a A Shark in A U-Boat","101.83"
"A Taut Documentary of a Car And a Robot who must Conquer a Boy in The Canadian Rockies","101.83"
"A Fast-Paced Story of a Pioneer And a Astronaut who must Reach a Boat in A Baloon","101.76"
"A Thoughtful Story of a Moose And a Husband who must Face a Secret Agent in The Sahara Desert","101.76"
"A Thoughtful Epistle of a Womanizer And a Monkey who must Vanquish a Dentist in A Monastery","100.83"
"A Fateful Display of a Feminist And a Monkey who must Vanquish a Monkey in The Canadian Rockies","100.74"
"A Lacklusture Character Study of a Mad Scientist And a Womanizer who must Outrace a Explorer in A Monastery","100.74"
"A Stunning Epistle of a Cat And a Forensic Psychologist who must Confront a Pioneer in A Baloon","99.84"
"A Touching Epistle of a Crocodile And a Teacher who must Build a Forensic Psychologist in A MySQL Convention","99.81"
"A Unbelieveable Story of a Teacher And a Boat who must Confront a Moose in A Baloon","99.79"
"A Intrepid Epistle of a Pastry Chef And a Pastry Chef who must Pursue a Crocodile in Ancient China","99.74"
"A Beautiful Panorama of a Pastry Chef And a A Shark who must Battle a Pioneer in Soviet Georgia","98.84"
"A Beautiful Documentary of a Boat And a Sumo Wrestler who must Succumb a Database Administrator in The First Manned Space Station","98.81"
"A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan","98.77"
"A Touching Documentary of a Madman And a Mad Scientist who must Outrace a Feminist in An Abandoned Mine Shaft","97.84"
"A Thoughtful Tale of a Woman And a A Shark who must Conquer a Dog in A Monastery","97.77"
"A Thoughtful Display of a Dentist And a Squirrel who must Confront a Lumberjack in A Shark Tank","97.72"
"A Awe-Inspiring Character Study of a Robot And a Sumo Wrestler who must Discover a Womanizer in A Shark Tank","97.72"
"A Fateful Tale of a Mad Cow And a Crocodile who must Meet a Husband in New Orleans","96.71"
"A Amazing Yarn of a Hunter And a Butler who must Defeat a Boy in A Jet Boat","95.84"
"A Fateful Saga of a Womanizer And a Student who must Defeat a Butler in A Monastery","95.82"
"A Awe-Inspiring Character Study of a Boy And a Feminist who must Sink a Crocodile in Ancient China","95.80"
"A Taut Character Study of a Woman And a A Shark who must Confront a Frisbee in Berlin","95.78"
"A Fanciful Documentary of a Boy And a Woman who must Redeem a Womanizer in A Jet Boat","95.76"
"A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station","94.88"
"A Taut Documentary of a Database Administrator And a Waitress who must Reach a Mad Scientist in A Baloon Factory","94.86"
"A Lacklusture Drama of a Waitress And a Husband who must Fight a Husband in California","94.85"
"A Thrilling Epistle of a Dog And a Feminist who must Kill a Madman in Berlin","94.84"
"A Action-Packed Display of a Sumo Wrestler And a Car who must Overcome a Waitress in A Baloon Factory","94.83"
"A Insightful Reflection of a Boat And a Secret Agent who must Vanquish a Astronaut in An Abandoned Mine Shaft","94.82"
"A Thrilling Documentary of a Composer And a Secret Agent who must Succumb a Cat in Berlin","94.79"
"A Thrilling Reflection of a Pastry Chef And a Crocodile who must Reach a Teacher in The Outback","94.79"
"A Touching Display of a Feminist And a Girl who must Confront a Astronaut in Australia","94.78"
"A Amazing Character Study of a Mad Cow And a Squirrel who must Discover a Hunter in A U-Boat","94.74"
"A Thrilling Documentary of a Feminist And a Feminist who must Confront a Feminist in A Baloon","94.73"
"A Stunning Documentary of a Composer And a Mad Scientist who must Find a Technical Writer in A U-Boat","93.88"
"A Touching Documentary of a Husband And a Boat who must Meet a Pastry Chef in A Baloon Factory","93.85"
"A Touching Story of a Dentist And a Database Administrator who must Conquer a Astronaut in An Abandoned Amusement Park","93.85"
"A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station","93.81"
"A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention","93.76"
"A Brilliant Character Study of a Frisbee And a Sumo Wrestler who must Confront a Woman in The Gulf of Mexico","93.73"
"A Intrepid Drama of a Butler And a Lumberjack who must Challenge a Database Administrator in A Manhattan Penthouse","92.86"
"A Action-Packed Yarn of a Boat And a Crocodile who must Build a Monkey in Berlin","92.85"
"A Unbelieveable Tale of a Car And a Explorer who must Confront a Boat in A Manhattan Penthouse","92.84"
"A Amazing Display of a Lumberjack And a Teacher who must Outrace a Woman in A U-Boat","92.83"
"A Taut Reflection of a A Shark And a Dentist who must Battle a Boat in Soviet Georgia","92.81"
"A Beautiful Drama of a Student And a Secret Agent who must Confront a Dentist in Ancient Japan","92.77"
"A Stunning Epistle of a Sumo Wrestler And a Man who must Challenge a Waitress in Ancient India","91.88"
"A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia","91.85"
"A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station","91.78"
"A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House","90.87"
"A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention","90.85"
"A Fast-Paced Tale of a Butler And a Moose who must Overcome a Pioneer in A Manhattan Penthouse","90.78"
"A Thoughtful Documentary of a Student And a Madman who must Challenge a Squirrel in A Manhattan Penthouse","89.85"
"A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico","89.84"
"A Epic Documentary of a Hunter And a Dog who must Outgun a Dog in A Baloon Factory","89.83"
"A Fanciful Character Study of a Secret Agent And a Mad Scientist who must Reach a Teacher in Australia","89.81"
"A Touching Epistle of a Squirrel And a Explorer who must Redeem a Pastry Chef in The Sahara Desert","88.87"
"A Fast-Paced Display of a Squirrel And a Explorer who must Outgun a Mad Scientist in Nigeria","88.87"
"A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station","88.82"
"A Thrilling Display of a Lumberjack And a Crocodile who must Meet a Monkey in A Baloon Factory","88.79"
"A Action-Packed Panorama of a Technical Writer And a Man who must Build a Forensic Psychologist in A Manhattan Penthouse","88.76"
"A Insightful Drama of a Car And a Composer who must Fight a Man in A Monastery","88.76"
"A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin","87.89"
"A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat","87.88"
"A Astounding Saga of a Moose And a Pastry Chef who must Chase a Student in The Gulf of Mexico","87.88"
"A Amazing Saga of a Madman And a Dentist who must Build a Car in A Manhattan Penthouse","87.85"
"A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat","87.83"
"A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat","87.80"
"A Epic Yarn of a Mad Scientist And a Cat who must Confront a Womanizer in A Baloon Factory","87.78"
"A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert","87.78"
"A Touching Documentary of a Dentist And a Sumo Wrestler who must Overcome a Boy in The Gulf of Mexico","86.88"
"A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India","86.85"
"A Awe-Inspiring Documentary of a Robot And a Mad Scientist who must Reach a Database Administrator in A Shark Tank","86.84"
"A Fast-Paced Tale of a A Shark And a Student who must Meet a Crocodile in Ancient China","86.84"
"A Insightful Saga of a Man And a Forensic Psychologist who must Discover a Mad Cow in A MySQL Convention","86.76"
"A Stunning Panorama of a Sumo Wrestler And a Husband who must Redeem a Madman in Ancient India","86.73"
"A Epic Story of a Mad Cow And a Astronaut who must Challenge a Car in California","86.71"
"A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India","85.86"
"A Stunning Character Study of a Car And a Girl who must Succumb a Car in A MySQL Convention","85.85"
"A Thoughtful Story of a Mad Scientist And a Waitress who must Confront a Forensic Psychologist in Soviet Georgia","85.74"
"A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft","84.87"
"A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California","84.85"
"A Fast-Paced Documentary of a Technical Writer And a Pastry Chef who must Escape a Moose in A U-Boat","84.81"
"A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention","84.80"
"A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery","84.78"
"A Fanciful Story of a Womanizer And a Dog who must Face a Forensic Psychologist in The Sahara Desert","84.74"
"A Thrilling Epistle of a Boy And a Boat who must Find a Student in Soviet Georgia","83.89"
"A Insightful Story of a Lumberjack And a Hunter who must Kill a Boy in Ancient Japan","83.86"
"A Brilliant Panorama of a Moose And a Man who must Reach a Teacher in The Gulf of Mexico","83.86"
"A Stunning Drama of a Robot And a Feminist who must Outgun a Butler in Nigeria","83.86"
"A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California","83.85"
"A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat","83.83"
"A Insightful Character Study of a Girl And a Car who must Pursue a Mad Cow in A Shark Tank","83.80"
"A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank","83.79"
"A Insightful Tale of a Database Administrator And a Dog who must Face a Madman in Soviet Georgia","83.75"
"A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat","82.85"
"A Touching Yarn of a Student And a Moose who must Fight a Mad Cow in Australia","82.85"
"A Insightful Reflection of a Waitress And a Madman who must Pursue a Boy in Ancient Japan","82.85"
"A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station","82.84"
"A Lacklusture Epistle of a Database Administrator And a Woman who must Meet a Hunter in An Abandoned Mine Shaft","82.77"
"A Astounding Documentary of a Butler And a Cat who must Find a Frisbee in Ancient China","81.90"
"A Stunning Reflection of a Girl And a Secret Agent who must Succumb a Boy in A MySQL Convention","81.86"
"A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat","81.83"
"A Emotional Display of a Man And a Dentist who must Challenge a Squirrel in Australia","81.72"
"A Boring Documentary of a Pioneer And a Man who must Vanquish a Man in Nigeria","80.86"
"A Action-Packed Drama of a Monkey And a Dentist who must Chase a Butler in Berlin","80.86"
"A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico","80.85"
"A Brilliant Reflection of a Man And a Woman who must Conquer a Pioneer in A MySQL Convention","80.83"
"A Astounding Epistle of a Technical Writer And a Teacher who must Fight a Squirrel in The Sahara Desert","80.83"
"A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India","80.77"
"A Intrepid Character Study of a Man And a Frisbee who must Overcome a Madman in Ancient China","80.75"
"A Beautiful Yarn of a Composer And a Mad Cow who must Redeem a Mad Scientist in A Jet Boat","79.87"
"A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank","79.87"
"A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station","79.86"
"A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery","79.83"
"A Intrepid Yarn of a Car And a Moose who must Outrace a Crocodile in A Manhattan Penthouse","79.82"
"A Awe-Inspiring Panorama of a Lumberjack And a Waitress who must Defeat a Crocodile in An Abandoned Amusement Park","79.78"
"A Boring Reflection of a Secret Agent And a Astronaut who must Face a Composer in A Manhattan Penthouse","79.75"
"A Action-Packed Saga of a Pastry Chef And a Explorer who must Discover a A Shark in The Outback","78.88"
"A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House","78.87"
"A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia","78.87"
"A Brilliant Panorama of a Astronaut And a Technical Writer who must Discover a Butler in A Manhattan Penthouse","78.86"
"A Beautiful Reflection of a Monkey And a Dentist who must Face a Database Administrator in Ancient Japan","78.86"
"A Fanciful Epistle of a Student And a Astronaut who must Kill a Waitress in A Shark Tank","78.84"
"A Astounding Epistle of a Cat And a Cat who must Conquer a Mad Cow in A U-Boat","78.83"
"A Brilliant Yarn of a Car And a Database Administrator who must Escape a Boy in A MySQL Convention","78.79"
